iter	Passed	Remaining
497	1928	1944
498	1931	1939
499	1934	1934
500	1937	1930
501	1940	1925
502	1943	1920
503	1946	1915
504	1949	1910
505	1952	1906
506	1955	1901
507	1958	1896
508	1961	1892
509	1964	1887
510	1967	1883
511	1970	1878
512	1974	1874
513	1977	1869
514	1980	1864
515	1983	1860
516	1985	1855
517	1988	1850
518	1992	1846
519	1995	1841
520	1998	1837
521	2002	1833
522	2005	1829
523	2008	1824
524	2011	1820
525	2015	1815
526	2018	1811
527	2021	1806
528	2024	1802
529	2028	1798
530	2031	1794
531	2034	1789
532	2037	1785
533	2040	1780
534	2044	1777
535	2047	1772
536	2052	1769
537	2056	1765
538	2060	1762
539	2064	1758
540	2067	1754
541	2071	1750
542	2075	1746
543	2079	1742
544	2082	1738
545	2086	1734
546	2090	1731
547	2093	1726
548	2096	1722
549	2099	1717
550	2102	1712
551	2108	1710
552	2111	1706
553	2114	1702
554	2117	1697
555	2121	1694
556	2125	1690
557	2128	1685
558	2131	1681
559	2134	1677
560	2139	1674
561	2143	1670
562	2146	1666
563	2150	1662
564	2155	1659
565	2158	1655
566	2162	1651
567	2167	1648
568	2172	1645
569	2176	1642
570	2179	1637
571	2187	1636
572	2191	1632
573	2194	1628
574	2202	1627
575	2206	1624
576	2209	1619
577	2216	1618
578	2220	1614
579	2225	1611
580	2232	1609
581	2235	1605
582	2239	1601
583	2245	1599
584	2250	1596
585	2254	1592
586	2263	1592
587	2266	1588
588	2270	1584
589	2276	1581
590	2281	1578
591	2285	1575
592	2289	1571
593	2295	1568
594	2299	1565
595	2303	1561
596	2309	1559
597	2313	1555
598	2317	1551
599	2322	1548
600	2327	1545
601	2331	1541
602	2337	1538
603	2342	1536
604	2347	1532
605	2350	1528
606	2356	1525
607	2360	1522
608	2364	1517
609	2370	1515
610	2374	1511
611	2378	1507
612	2381	1503
613	2386	1500
614	2390	1496
615	2396	1493
616	2401	1490
617	2404	1486
618	2407	1481
619	2414	1479
620	2417	1475
621	2421	1471
622	2426	1468
623	2431	1465
624	2435	1461
625	2439	1457
626	2445	1454
627	2449	1451
628	2452	1446
629	2458	1443
630	2463	1440
631	2467	1436
632	2470	1432
633	2476	1429
634	2480	1425
635	2483	1421
636	2489	1418
637	2492	1414
638	2496	1410
639	2500	1406
640	2505	1403
641	2508	1398
642	2511	1394
643	2518	1392
644	2522	1388
645	2525	1383
646	2530	1380
647	2535	1377
648	2538	1373
649	2541	1368
650	2548	1366
651	2552	1362
652	2556	1358
653	2561	1354
654	2565	1351
655	2571	1348
656	2575	1344
657	2580	1341
658	2583	1337
659	2588	1333
660	2596	1331
661	2600	1327
662	2604	1323
663	2610	1321
664	2614	1317
665	2617	1312
666	2624	1310
667	2627	1306
668	2631	1302
669	2634	1297
670	2641	1294
671	2644	1290
672	2647	1286
673	2654	1283
674	2658	1279
675	2661	1275
676	2665	1271
677	2671	1268
678	2676	1265
679	2679	1260
680	2685	1257
681	2689	1253
682	2692	1249
683	2698	1246
684	2702	1242
685	2706	1238
686	2709	1234
687	2715	1231
688	2719	1227
689	2723	1223
690	2730	1220
691	2735	1217
692	2738	1213
693	2745	1210
694	2748	1206
695	2752	1202
696	2756	1198
697	2762	1195
698	2766	1191
699	2770	1187
700	2776	1184
701	2779	1180
702	2783	1175
703	2790	1173
704	2794	1169
705	2797	1165
706	2802	1161
707	2806	1157
708	2809	1153
709	2812	1148
710	2817	1145
711	2821	1141
712	2824	1136
713	2827	1132
714	2834	1129
715	2837	1125
716	2841	1121
717	2844	1117
718	2850	1113
719	2853	1109
720	2856	1105
721	2859	1101
722	2864	1097
723	2867	1093
724	2871	1089
725	2874	1084
726	2879	1081
727	2882	1076
728	2885	1072
729	2888	1068
730	2893	1064
731	2896	1060
732	2899	1056
733	2902	1051
734	2905	1047
735	2911	1044
736	2914	1040
737	2918	1036
738	2922	1032
739	2927	1028
740	2930	1024
741	2934	1020
742	2941	1017
743	2944	1013
744	2948	1009
745	2951	1005
746	2957	1001
747	2961	997
748	2964	993
749	2967	989
750	2973	986
751	2977	982
752	2981	977
753	2988	975
754	2992	971
755	2996	966
756	3003	964
757	3008	960
758	3012	956
759	3020	953
760	3024	949
761	3027	945
762	3035	942
763	3038	938
764	3042	934
765	3045	930
766	3051	927
767	3055	923
768	3059	919
769	3066	915
770	3070	911
771	3073	907
772	3081	905
773	3085	900
774	3089	896
775	3093	893
776	3098	889
777	3102	885
778	3106	881
779	3113	878
780	3116	874
781	3120	869
782	3171	878
783	3192	879
784	3199	876
785	3203	872
786	3210	868
787	3214	864
788	3217	860
789	3224	857
790	3228	852
791	3231	848
792	3235	844
793	3241	841
794	3245	836
795	3248	832
796	3255	829
797	3262	825
798	3266	821
799	3272	818
800	3276	813
801	3280	809
802	3287	806
803	3290	802
804	3294	797
805	3300	794
806	3304	790
807	3307	785
808	3310	781
809	3315	777
810	3319	773
811	3322	769
812	3325	764
813	3330	761
814	3334	756
815	3337	752
816	3340	748
817	3345	744
818	3348	739
819	3351	735
820	3354	731
821	3359	727
822	3362	723
823	3365	718
824	3368	714
825	3373	710
826	3376	706
827	3379	702
828	3382	697
829	3386	693
830	3390	689
831	3392	685
832	3395	680
833	3399	676
834	3404	672
835	3408	668
836	3411	664
837	3414	660
838	3419	656
839	3424	652
840	3428	648
841	3432	644
842	3436	640
843	3440	635
844	3444	631
845	3448	627
846	3453	623
847	3456	619
848	3459	615
849	3464	611
850	3467	607
851	3470	602
852	3474	598
853	3479	594
854	3483	590
855	3487	586
856	3490	582
857	3495	578
858	3499	574
859	3503	570
860	3507	566
861	3514	562
862	3518	558
863	3521	554
864	3528	550
865	3531	546
866	3535	542
867	3539	538
868	3545	534
869	3549	530
870	3552	526
871	3556	522
872	3561	518
873	3564	513
874	3565	509
875	3568	505
876	3573	501
877	3576	496
878	3580	492
879	3583	488
880	3589	484
881	3593	480
882	3596	476
883	3599	472
884	3606	468
885	3609	464
886	3612	460
887	3615	456
888	3619	451
889	3623	447
890	3626	443
891	3631	439
892	3635	435
893	3638	431
894	3641	427
895	3644	423
896	3648	418
897	3651	414
898	3654	410
899	3657	406
900	3660	402
901	3663	398
902	3666	393
903	3669	389
904	3672	385
905	3675	381
906	3679	377
907	3683	373
908	3687	369
909	3690	364
910	3694	360
911	3698	356
912	3701	352
913	3704	348
914	3707	344
915	3710	340
916	3713	336
917	3716	331
918	3718	327
919	3722	323
920	3725	319
921	3727	315
922	3730	311
923	3733	307
924	3736	302
925	3739	298
926	3742	294
927	3746	290
928	3749	286
929	3752	282
930	3755	278
931	3758	274
932	3762	270
933	3765	266
934	3768	261
935	3771	257
936	3774	253
937	3778	249
938	3781	245
939	3785	241
940	3789	237
941	3792	233
942	3796	229
943	3800	225
944	3803	221
945	3806	217
946	3809	213
947	3812	209
948	3815	205
949	3818	200
950	3821	196
951	3824	192
952	3827	188
953	3830	184
954	3833	180
955	3836	176
956	3839	172
957	3842	168
958	3846	164
959	3850	160
960	3853	156
961	3857	152
962	3861	148
963	3864	144
964	3867	140
965	3870	136
966	3873	132
967	3877	128
968	3880	124
969	3883	120
970	3886	116
971	3889	112
972	3892	108
973	3895	103
974	3899	99
975	3902	95
976	3906	91
977	3909	87
978	3912	83
979	3915	79
980	3918	75
981	3922	71
982	3925	67
983	3929	63
984	3932	59
985	3936	55
986	3941	51
987	3945	47
988	3948	43
989	3949	39
990	3953	35
991	3957	31
992	3960	27
993	3964	23
994	3967	19
995	3970	15
996	3973	11
997	3976	7
998	3980	3
999	3983	0
